Mã tài sản,Tên tài sản,Ngày vào sổ,Ngày sử dụng,Đơn vị sử dụng,Số lượng TS con,Số lượng Phụ lục ts,Ghi chú,Tài khoản tài sản,Dự án,Mô hình tài sản,Nguyên giá tài sản,Giá trị Khấu hao ban đầu,Kỳ khấu hao ban đầu,GTCL ban đầu,Giá trị Khấu hao phát sinh,Kỳ khấu hao phát sinh,Giá trị khấu hao còn lại,Kỳ khấu hao còn lại
K.20.VH.0001,K.20.VH.0001 - Phần mềm văn phòng điện tử,2012-09-28,2012-09-28,Phòng CV,"0,00","0,00",,2135,99,2135-Chương trình phần mềm,"452.350.270,00","452.350.270,00","96,00","0,00","0,00","0,00","0,00","0,00"
K.20.VH.0002,K.20.VH.0002 - Phần mền thông gió Ventsim,2013-01-01,2013-01-01,Phòng CV,"0,00","0,00",,2135,99,2135-Chương trình phần mềm,"483.494.382,00","483.494.382,00","72,00","0,00","0,00","0,00","0,00","0,00"
K.20.VH.0003,K.20.VH.0003 - Phần mềm bản quyền,2019-03-05,2019-03-05,Phân xưởng khai thác đào lò 2,"0,00","1,00",,2135,076 - Đầu tư phục vụ sản xuất năm 2018- công ty than Uông Bí,2135-Chương trình phần mềm,"495.695.919,00","477.864.968,00","58,00","17.830.951,00","17.830.951,00","2,00","0,00","0,00"
K.20.VH.0004,K.20.VH.0004 - Phần mềm quản lý cơ điện,2020-07-10,2020-07-10,Phòng KT,"0,00","0,00",,2135,014 - DA PVSX năm 2019,2135-Chương trình phần mềm,"595.097.494,00","344.299.135,00","40,00","250.798.359,00","250.798.359,00","32,00","0,00","0,00"
K.20.VH.0005,"K.20.VH.0005 - Phần mềm giám sát, điều khiển MH 6AV2105",2022-09-15,2022-09-15,Phân xưởng Cơ điện lò 2,"0,00","2,00",,2135,191 - Dự án Đầu tư nâng công suất trạm biến áp 7500kVA lên 12.000kVA MB +24 Tràng Khê,2135-Chương trình phần mềm,"222.549.749,00","48.167.650,00","15,00","174.382.099,00","102.589.702,69","34,00","71.792.396,31","23,00"
K.20.VH.0006,"K.20.VH.0006 - Phần mềm giám sát, điều khiển MH 6AV2105",2022-09-15,2022-09-15,Phân xưởng Cơ điện lò 2,"0,00","0,00",,2135,191 - Dự án Đầu tư nâng công suất trạm biến áp 7500kVA lên 12.000kVA MB +24 Tràng Khê,2135-Chương trình phần mềm,"222.549.747,00","48.167.650,00","15,00","174.382.097,00","102.589.701,51","34,00","71.792.395,49","23,00"
K.20.VH.0007,"K.20.VH.0007 - Phần mềm giám sát, điều khiển MH 6AV2105",2022-09-15,2022-09-15,Phân xưởng Cơ điện lò 2,"0,00","0,00",,2135,191 - Dự án Đầu tư nâng công suất trạm biến áp 7500kVA lên 12.000kVA MB +24 Tràng Khê,2135-Chương trình phần mềm,"222.549.747,00","48.167.650,00","15,00","174.382.097,00","102.589.701,51","34,00","71.792.395,49","23,00"
B.18.MCL.0001,B.18.MCL.0001 - Máy cấp liệu lắc (01bộ),2009-12-28,2009-12-28,Phòng CV,"0,00","1,00",,2113,"015 - DA đầu tư Nâng công suất lên 600.000 tấn/năm T.khê II,III - Công ty Than Hồng thái","2113-Phương tiện vận tải, truyền dẫn","222.292.540,00","222.292.540,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.18.MLG.0001,B.18.MLG.0001 - Quang lật nghiêng 3 tấn cửa lò +30 TK phần thiết bị),2005-12-31,2005-12-31,Phòng CV,"0,00","0,00",,2113,"015 - DA đầu tư Nâng công suất lên 600.000 tấn/năm T.khê II,III - Công ty Than Hồng thái","2113-Phương tiện vận tải, truyền dẫn","113.883.665,00","113.883.665,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B500.1.0003,B.2.B500.1.0003 - Băng tải B500 ,2009-10-23,2009-10-23,Phòng CV,"0,00","0,00",,2113,110 - Dự án Đầu tư duy trì TB năm 2009 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","905.078.394,00","905.078.394,00","96,00","0,00","0,00","0,00","0,00","0,00"
